background/signal,pT GeV,mass GeV,width,ptD,#of constituents
1,166.699,17.499,0.067,0.616,18
0,28.011,6.602,0.217,0.254,21
1,37.89,7.676,0.185,0.288,22
1,561.118,34.984,0.019,0.924,18
1,197.296,11.826,0.023,0.648,9
0,24.258,6.076,0.234,0.231,23
0,23.87,4.076,0.142,0.386,11
1,232.008,24.265,0.066,0.482,23
1,237.244,21.935,0.04,0.873,17
1,244.758,17.632,0.022,0.937,11
0,22.408,5.354,0.208,0.3,16
1,690.274,28.366,0.007,0.975,10
0,41.974,6.357,0.112,0.378,21
1,172.275,30.575,0.152,0.341,28
0,23.704,5.352,0.211,0.347,14
1,79.985,11.994,0.119,0.364,24
1,67.454,14.946,0.2,0.358,28
0,21.459,3.971,0.159,0.339,13
0,22.685,4.566,0.176,0.398,15
0,21.262,5.557,0.244,0.268,17
0,24.131,6.274,0.242,0.289,19
0,24.305,5.251,0.181,0.285,21
0,20.826,3.591,0.152,0.345,14
0,38.529,7.722,0.183,0.267,17
0,21.194,5.17,0.224,0.32,13
0,20.802,4.199,0.182,0.28,16
0,20.926,4.05,0.17,0.346,14
0,23.727,5.392,0.192,0.266,22
0,96.759,7.302,0.041,0.632,10
0,58.585,8.967,0.129,0.407,14
0,23.867,4.361,0.15,0.348,15
1,122.961,11.256,0.038,0.914,7
0,21.486,3.684,0.154,0.328,14
0,407.544,26.748,0.026,0.905,11
1,151.601,7.906,0.031,0.765,11
0,44.113,8.49,0.163,0.342,22
1,678.486,46.525,0.019,0.944,13
0,28.135,6.626,0.206,0.284,22
0,22.831,2.186,0.053,0.845,5
0,20.302,4.733,0.219,0.233,24
1,193.015,11.524,0.017,0.941,8
0,25.625,5.723,0.196,0.24,23
1,403.447,21.116,0.013,0.977,6
1,171.237,14.752,0.052,0.65,10
1,120.468,12.715,0.072,0.443,17
0,27.393,6.975,0.241,0.291,18
0,20.627,5.241,0.247,0.354,11
0,36.299,6.881,0.165,0.324,15
1,121.352,13.959,0.079,0.457,12
1,294.295,31.78,0.062,0.632,23
1,51.195,9.055,0.121,0.398,18
1,409.163,15.615,0.006,0.986,5
0,31.235,7.14,0.206,0.269,19
0,20.015,3.48,0.15,0.428,9
0,30.457,6.886,0.206,0.372,20
1,314.614,24.088,0.029,0.922,15
1,280.193,33.066,0.087,0.473,29
0,26.845,6.544,0.211,0.276,20
0,20.169,3.131,0.123,0.429,10
0,419.185,24.368,0.026,0.82,8
0,84.948,16.212,0.172,0.326,21
1,39.609,5.996,0.116,0.317,19
1,25.829,4.284,0.149,0.388,13
0,22.606,5.158,0.209,0.265,20
0,29.97,6.279,0.18,0.373,17
0,22.774,6.457,0.266,0.252,19
0,59.311,12.559,0.197,0.365,22
0,20.674,3.222,0.121,0.391,13
0,22.374,4.402,0.171,0.285,17
1,170.756,18.046,0.067,0.529,16
1,158.946,13.47,0.041,0.907,10
0,56.554,8.002,0.104,0.396,16
0,26.894,6.564,0.222,0.341,21
1,106.474,15.48,0.08,0.781,13
0,22.255,5.807,0.244,0.267,18
1,144.407,7.251,0.011,0.978,4
1,123.242,20.523,0.128,0.39,24
1,129.029,11.013,0.041,0.836,11
0,35.722,6.903,0.175,0.333,13
1,75.814,11.25,0.108,0.409,19
0,23.46,5.244,0.213,0.358,12
0,29.653,5.628,0.159,0.31,17
1,30.941,5.363,0.145,0.505,8
0,28.503,6.032,0.179,0.267,20
0,24.579,5.928,0.225,0.344,20
1,625.55,19.753,0.007,0.95,8
0,30.069,6.718,0.202,0.254,21
0,20.793,4.724,0.201,0.312,13
1,503.223,25.445,0.013,0.94,8
0,43.07,9.113,0.193,0.316,21
0,22.308,4.853,0.192,0.268,20
0,22.666,4.197,0.146,0.368,10
1,172.732,17.423,0.056,0.745,13
1,45.233,7.63,0.137,0.463,13
0,47.879,10.562,0.192,0.347,19
0,72.512,14.936,0.182,0.325,23
0,43.413,7.187,0.131,0.414,14
1,160.049,9.003,0.019,0.935,6
0,26.364,5.039,0.162,0.268,21
1,38.707,8.794,0.204,0.519,13
0,450.903,30.858,0.022,0.917,12
1,138.961,18.433,0.077,0.818,10
1,227.654,13.712,0.019,0.926,7
1,41.819,6.955,0.132,0.371,20
1,285.19,22.438,0.028,0.882,16
1,68.796,6.224,0.064,0.403,12
1,447.276,24.082,0.024,0.778,11
1,346.545,25.244,0.023,0.919,12
1,70.898,8.492,0.091,0.483,10
0,27.521,4.797,0.146,0.277,18
0,26.413,6.335,0.215,0.291,15
1,281.522,15.686,0.015,0.948,5
0,30.386,4.695,0.119,0.361,12
1,209.314,20.769,0.05,0.578,16
0,21.124,5.286,0.231,0.27,20
1,81.194,7.46,0.042,0.859,12
0,25.912,5.839,0.209,0.26,18
0,20.984,4.235,0.158,0.368,13
0,21.142,4.932,0.211,0.264,20
